YEAR,MONTH,DAY,TOTAL
2014,Mar,1,70.63
2014,Mar,2,71.85
2014,Mar,3,72.54
2014,Mar,4,73.3
2014,Mar,5,68.82
2014,Mar,6,69.79
2014,Mar,7,59.59
2014,Mar,8,64.04
2014,Mar,9,64.85
2014,Mar,10,62.88
2014,Mar,11,62.52
2014,Mar,12,67.48
2014,Mar,13,62
2014,Mar,14,62.49
2014,Mar,15,63.35
2014,Mar,16,64.26
2014,Mar,17,65.02
2014,Mar,18,65.88
2014,Mar,19,66.82
2014,Mar,20,67.68
2014,Mar,21,68.8
2014,Mar,22,69.74
2014,Mar,23,65.41
2014,Mar,24,66.33
2014,Mar,25,67.22
2014,Mar,26,70.5
2014,Mar,27,73.63
2014,Mar,28,75.93
2014,Mar,29,77.51
2014,Mar,30,78.44
2014,Mar,31,75.23
2014,Apr,1,76.1
2014,Apr,2,77.05
2014,Apr,3,77.91
2014,Apr,4,79.09
2014,Apr,5,80.32
2014,Apr,6,81.15
2014,Apr,7,81.92
2014,Apr,8,82.78
2014,Apr,9,83.78
2014,Apr,10,83.4
2014,Apr,11,84.25
2014,Apr,12,85.15
2014,Apr,13,85.92
2014,Apr,14,86.74
2014,Apr,15,87.45
2014,Apr,16,88.51
2014,Apr,17,89.35
2014,Apr,18,90.84
2014,Apr,19,92
2014,Apr,20,92.94
2014,Apr,21,93.85
2014,Apr,22,94.69
2014,Apr,23,95.65
2014,Apr,24,96.14
2014,Apr,25,97.28
2014,Apr,26,98.33
2014,Apr,27,99.2
2014,Apr,28,100.06
2014,Apr,29,101.09
2014,Apr,30,102.01
2014,May,1,102.65
2014,May,2,103.73
2014,May,3,103.83
2014,May,4,104.57
2014,May,5,105.21
2014,May,6,105.78
2014,May,7,106.64
2014,May,8,96.87
2014,May,9,96.32
2014,May,10,97.14
2014,May,11,97.9
2014,May,12,98.69
2014,May,14,100.67
2014,May,15,101.47
2014,May,16,102.06
2014,May,17,103.29
2014,May,18,104.11
2014,May,19,104.91
2014,May,20,105.95
2014,May,21,106.84
2014,May,22,107.63
2014,May,23,108.51
2014,May,24,109.55
2014,May,25,110.59
2014,May,26,102.89
2014,May,27,103.87
2014,May,28,104.69
2014,May,29,105.85
2014,May,30,106.7
2014,May,31,107.81
2014,Jun,1,108.69
2014,Jun,2,109.58
2014,Jun,3,107.7
2014,Jun,4,108.42
2014,Jun,5,109.25
2014,Jun,6,110.1
2014,Jun,7,111.22
2014,Jun,8,112.02
2014,Jun,9,112.83
